epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.342,0.93596,2.0861,1.05269,0.01227,0.81907,0.09155,0.04257,1.6792,3.17388,1.55111,0.00013,0.00013,0.08713
2,458.32,0.91203,1.23652,1.10191,0.0137,0.91443,0.52286,0.35061,1.15406,3.01636,1.22112,0.000259308,0.000259308,0.0732593
3,677.774,0.89477,1.08197,1.08477,0.02059,0.94132,0.70695,0.50997,0.96157,2.86296,1.19346,0.000377528,0.000377528,0.0593775
4,895.549,0.88053,0.98328,1.09464,0.50242,0.71394,0.64383,0.45699,0.89929,2.66817,1.16252,0.00048466,0.00048466,0.0454847
5,1122.65,0.90756,0.99381,1.10002,0.737,0.66461,0.7326,0.56372,0.78606,1.48888,1.11069,0.000580704,0.000580704,0.0315807
6,1339.99,0.86362,0.91073,1.04597,0.79061,0.757,0.80874,0.60167,0.81192,1.0663,1.10377,0.00066566,0.00066566,0.0176657
7,1566.48,0.85224,0.8877,1.06323,0.80012,0.78484,0.83674,0.62051,0.78182,0.97858,1.07446,0.000739528,0.000739528,0.00373953
8,1785.45,0.80979,0.83817,1.03652,0.85633,0.79462,0.87897,0.67589,0.76606,0.90749,1.07298,0.0007228,0.0007228,0.0007228
9,2006.29,0.80592,0.79598,1.03672,0.88223,0.76924,0.88127,0.68278,0.75625,0.86947,1.07091,0.0006832,0.0006832,0.0006832
10,2234.44,0.79299,0.78895,1.03076,0.86544,0.77506,0.88056,0.69317,0.73546,0.87239,1.05473,0.0006436,0.0006436,0.0006436
11,2454.69,0.80765,0.77515,1.02839,0.86323,0.81785,0.89062,0.71064,0.71964,0.79334,1.03212,0.000604,0.000604,0.000604
12,2675.82,0.77284,0.77055,1.02891,0.87637,0.79707,0.88704,0.71099,0.69503,0.79357,1.03175,0.0005644,0.0005644,0.0005644
13,2896.6,0.78125,0.76289,1.01321,0.88243,0.82885,0.89846,0.71053,0.74131,0.73589,1.03142,0.0005248,0.0005248,0.0005248
14,3118.26,0.77667,0.72584,1.01762,0.88866,0.83915,0.90953,0.74205,0.65316,0.69579,1.00122,0.0004852,0.0004852,0.0004852
15,3337.61,0.74495,0.6862,0.98043,0.89564,0.83933,0.91524,0.74263,0.64768,0.6914,0.98737,0.0004456,0.0004456,0.0004456
16,3552.59,0.65492,0.70131,0.95664,0.89679,0.84975,0.90805,0.74469,0.66329,0.76686,1.00605,0.000406,0.000406,0.000406
17,3765.66,0.65894,0.67859,0.97065,0.90856,0.82641,0.91728,0.74337,0.67384,0.79911,0.99994,0.0003664,0.0003664,0.0003664
18,3979.04,0.6378,0.64389,0.94768,0.8976,0.83585,0.92093,0.75757,0.61835,0.67397,0.97639,0.0003268,0.0003268,0.0003268
19,4198.75,0.61441,0.62058,0.93637,0.90758,0.81632,0.91865,0.76087,0.60818,0.68791,0.9696,0.0002872,0.0002872,0.0002872
20,4414.63,0.62436,0.61689,0.94995,0.9348,0.8313,0.9206,0.77943,0.5917,0.6481,0.9602,0.0002476,0.0002476,0.0002476
21,4628.39,0.58374,0.59681,0.92745,0.9293,0.84597,0.91988,0.77315,0.60483,0.64494,0.96669,0.000208,0.000208,0.000208
22,4846.02,0.60369,0.60106,0.94285,0.93727,0.84026,0.92265,0.77318,0.59645,0.63862,0.9682,0.0001684,0.0001684,0.0001684
23,5063.45,0.5719,0.57107,0.92195,0.93161,0.84841,0.92475,0.77056,0.59038,0.63619,0.96634,0.0001288,0.0001288,0.0001288
24,5278.55,0.56708,0.5677,0.93006,0.92163,0.85086,0.9245,0.77159,0.58119,0.6286,0.95848,8.92e-05,8.92e-05,8.92e-05
25,5492.51,0.56689,0.56032,0.92926,0.92089,0.84108,0.92113,0.77078,0.57891,0.61919,0.95786,4.96e-05,4.96e-05,4.96e-05
